LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,flag
MAC000897,11/24/2013,0.733,1.084,4.204,36,0.314,77.63,0.212,yes
MAC002599,11/7/2012,0.951,0.504,0.215,37,1.312,83.015,1.613,yes
MAC004543,4/25/2013,0.296,0.358,1,48,0.197,17.178,0.133,no
MAC001966,2/18/2013,0.257,0.409,1.448,48,0.365,19.639,0.097,no
MAC002528,11/24/2013,0.742,1.5,3.447,2,1.172,87.12,1.592,yes
MAC002599,7/12/2012,1.351,1.264,0.222,17,0.231,107.946,0.324,yes
MAC002474,9/28/2012,0.73,1.838,0.504,0,0.348,66.844,0.321,yes
MAC002582,1/3/2014,2.654,0.424,4.083,0,0.014,86.12,2.065,yes
MAC003365,1/31/2013,0.067,0.095,0.689,48,0.107,4.539,0.02,no
MAC002599,3/7/2013,1.25,0.713,3.819,46,1.362,15.232,2.152,yes
MAC002599,12/24/2013,0.24,0.27,1.302,48,0.215,12.944,0.064,no
MAC001448,11/25/2013,0.117,0.148,0.494,48,0.093,7.101,0.052,no
MAC000897,10/3/2013,1.092,2.406,0.685,36,1.288,20.763,1.64,yes
MAC000606,8/1/2012,0.486,2.346,3.809,38,1.406,72.487,0.943,yes
MAC000897,11/1/2013,0.072,0.106,0.55,48,0.086,5.086,0.031,no
MAC005172,10/20/2013,0.084,0.202,1.407,48,0.268,9.701,0.033,no
MAC004955,8/11/2013,0.134,0.158,0.525,48,0.094,7.607,0.08,no
MAC002575,10/23/2013,0.08,0.098,0.266,48,0.046,4.72,0.054,no
MAC002481,11/22/2013,2.861,0.794,2.094,36,1.385,0.047,0.062,yes
MAC001966,8/5/2013,1.8,1.116,1.242,10,0.952,92.973,0.315,yes
MAC002327,11/4/2012,1.903,0.915,1.362,4,0.611,79.641,1.468,yes
MAC002595,7/30/2012,1.366,0.423,4.717,38,0.122,111.742,0.706,yes
MAC001966,8/3/2012,0.491,1.132,0.883,40,0.659,91.042,1.771,yes
MAC002528,4/20/2013,2.732,0.827,1.022,14,1.256,73.448,0.57,yes
MAC004832,5/5/2013,0.16,0.218,0.732,48,0.182,10.45,0.024,no
MAC002575,4/7/2013,2.362,1.776,2.572,37,0.548,11.766,2.124,yes
MAC003355,1/17/2014,0.627,0.806,2.453,48,0.523,38.676,0.184,no
MAC002599,12/5/2013,0.616,1.678,0.25,47,1.078,23.539,0.209,yes
MAC002474,9/11/2012,1.454,1.61,2.439,21,0.953,77.651,1.809,yes
MAC000897,1/22/2013,0.142,0.142,0.534,48,0.085,6.822,0.047,no
MAC001835,2/9/2014,0.301,0.336,0.849,48,0.224,16.104,0.058,no
MAC004567,1/6/2013,0.15,0.255,1.161,48,0.266,12.228,0.058,no
MAC002862,12/4/2013,0.252,0.442,1.538,48,0.488,21.222,0.04,no
MAC003221,2/1/2014,0.153,0.181,0.447,48,0.09,8.674,0.07,no
MAC002599,4/17/2013,0.182,0.227,0.445,48,0.107,10.883,0.083,no
MAC001835,11/30/2013,0.287,0.464,3.376,33,1.209,115.505,0.592,yes
MAC002595,10/1/2013,0.145,0.535,0.764,17,0.245,27.052,0.057,yes
MAC004417,5/22/2013,0.096,0.113,0.424,48,0.095,5.4,0.019,no
MAC001410,10/27/2012,2.563,1.874,3.648,46,0.587,109.598,0.153,yes
MAC002582,6/24/2013,2.779,1.048,4.836,45,0.951,94.898,0.364,yes
MAC003900,10/29/2012,0.187,0.216,1.227,48,0.165,10.388,0.066,no
MAC002599,1/9/2013,0.304,1.849,0.105,35,1.274,99.19,1.284,yes
MAC004832,6/1/2013,0.066,0.135,0.874,48,0.183,6.494,0.022,no
MAC003173,12/13/2013,0.193,0.191,0.509,48,0.096,9.159,0.046,no
MAC002595,7/7/2013,1.4,2.38,0.136,45,1.08,83.634,1.09,yes
MAC003908,3/4/2013,0.053,0.068,0.409,48,0.06,3.255,0.029,no
MAC000897,11/29/2012,2.606,0.908,0.137,19,0.464,94.314,0.821,yes
MAC004567,1/18/2014,0.278,0.371,1.049,48,0.283,17.796,0.048,no
MAC004633,12/31/2012,0.117,0.18,0.78,48,0.131,8.621,0.056,no
MAC002481,7/11/2012,0.197,1.861,3.28,35,0.021,11.044,2.093,yes
MAC001835,12/4/2012,0.118,0.145,0.3,48,0.074,6.967,0.061,no
MAC002481,1/18/2013,2.835,1.335,1.612,40,0.832,29.275,0.358,yes
MAC002859,12/18/2012,0.128,0.311,2.024,48,0.462,14.915,0.052,no
MAC001448,9/1/2012,2.211,1.541,4.576,29,1.053,7.937,1.888,yes
MAC005172,6/24/2012,0.065,0.193,1.509,48,0.284,9.241,0.032,no
MAC002599,8/15/2012,2.595,1.011,4.203,2,0.744,32.878,0.55,yes
MAC002606,10/18/2013,0.477,0.793,3.035,3,0.601,96.694,1.059,yes
MAC002474,6/3/2012,0.945,1.202,0.759,47,0.485,62.98,1.772,yes
MAC004417,3/27/2013,0.119,0.159,0.752,48,0.144,7.644,0.015,no
MAC002528,10/7/2012,0.04,0.088,1.039,48,0.188,4.241,0.021,no
MAC002575,7/18/2013,2.334,1.724,0.764,5,1.193,20.773,2.109,yes
MAC001966,3/31/2013,2.03,1.326,2.098,30,0.627,108.381,1.352,yes
MAC002595,12/10/2012,0.199,0.272,1.57,48,0.306,13.032,0.035,no
MAC002481,12/23/2013,2.178,0.628,2.554,6,1.126,51.71,0.927,yes
MAC000897,5/23/2012,0.295,0.703,4.596,12,0.754,44.28,0.728,yes
MAC002327,5/9/2012,2.975,1.865,4.39,16,0.129,78.864,1.653,yes
MAC002575,12/31/2012,0.173,0.211,0.966,48,0.202,10.105,0.038,no
MAC001448,1/9/2014,0.118,0.128,0.274,48,0.05,6.14,0.053,no
MAC002474,4/22/2013,1.095,1.748,3.91,3,0.605,0.426,1.197,yes
MAC004957,1/8/2013,0.037,0.116,0.974,48,0.246,5.569,0,no
MAC003355,3/9/2013,0.364,0.531,1.89,48,0.469,25.506,0.131,no
MAC004543,4/20/2013,0.379,0.407,1.195,48,0.235,19.524,0.125,no
MAC002528,4/27/2013,2.068,1.724,0.587,1,1.425,67.462,1.755,yes
MAC001410,11/27/2012,0.148,0.276,1.095,48,0.26,13.264,0.052,no
MAC003607,7/14/2013,0.113,0.115,0.198,48,0.031,5.539,0.067,no
MAC002595,1/17/2013,0.163,0.218,1.176,48,0.24,10.471,0.033,no
MAC002528,4/28/2013,2.859,2.039,2.214,30,1.424,88.007,0.806,yes
MAC002528,1/15/2014,1.796,2.001,2.428,41,1.015,57.304,1.143,yes
MAC002582,9/12/2013,0.496,2.174,3.155,30,0.122,22.274,1.977,yes
MAC002859,6/30/2012,0.175,0.199,0.707,48,0.146,9.544,0.056,no
MAC002595,11/27/2013,0.159,0.168,0.397,48,0.108,8.066,0.031,no
MAC001835,10/8/2012,0.383,0.454,2.403,48,0.391,21.783,0.101,no
MAC002214,9/1/2012,0.104,0.151,0.841,48,0.144,7.253,0.04,no
MAC002606,2/18/2014,2.316,1.009,0.14,8,1.014,20.745,1.049,yes
MAC003441,10/7/2012,0.368,0.476,1.631,48,0.333,22.851,0.154,no
MAC002599,11/11/2012,0.254,0.351,1.568,48,0.327,16.835,0.076,no
MAC004957,3/23/2013,0.073,0.066,0.179,48,0.048,3.19,0,no
MAC002582,3/29/2013,1.472,0.117,0.088,10,1.3,77.775,0.661,yes
MAC002595,2/23/2014,0.134,0.149,0.644,48,0.107,7.133,0.037,no
MAC002327,10/13/2012,2.961,1.362,1.192,0,0.986,57.319,2.255,yes
MAC001410,6/20/2013,1.979,1.402,3.498,45,1.332,81.923,0.404,yes
MAC000897,12/4/2013,0.258,0.688,0.441,47,0.548,87.099,0.351,yes
MAC002481,7/26/2013,0.481,0.482,0.698,42,0.432,33.871,1.895,yes
MAC002859,7/1/2012,2.1,0.468,1.661,36,0.787,5.773,1.368,yes
MAC002327,3/24/2013,1.699,1.979,0.123,37,0.458,19.157,1.312,yes
MAC001835,6/22/2013,0.103,0.123,0.311,48,0.073,5.902,0.054,no
MAC005159,6/13/2013,0.211,0.317,1.578,48,0.264,15.225,0.161,no
MAC002474,4/26/2013,2.112,1.615,2.365,22,0.744,65.476,2.197,yes
MAC001448,10/28/2013,2.536,1.613,3.989,10,1.341,25.3,0.317,yes
MAC002859,6/18/2012,0.394,1.214,4.14,29,0.585,72.058,0.214,yes
MAC002214,10/15/2013,0.693,2.077,0.68,29,1.085,8.767,1.506,yes
MAC004543,5/9/2012,0.143,0.147,0.209,48,0.025,7.043,0.089,no
MAC004543,6/17/2012,0.241,0.299,0.993,48,0.154,14.339,0.125,no
MAC005159,11/21/2013,0.239,0.296,0.996,48,0.169,14.184,0.166,no
MAC002481,6/20/2013,0.254,2.453,1.074,27,0.626,116.813,0.721,yes
MAC001448,10/18/2012,0.201,1.651,1.65,32,0.146,93.557,1.941,yes
MAC002859,7/9/2013,0.514,2.307,1.669,18,1.195,110.505,1.216,yes
MAC002327,4/2/2013,0.788,0.431,2.282,46,0.562,116.075,0.626,yes
MAC002606,10/21/2012,0.44,1.698,4.555,35,1.421,59.685,0.203,yes
MAC002481,11/25/2013,1.388,1.918,1.18,29,0.848,82.783,0.694,yes
MAC004408,2/10/2013,0.159,0.165,0.479,48,0.117,7.921,0.034,no
MAC001835,7/1/2013,0.866,1.573,4.343,16,0.042,102.147,2.28,yes
MAC001448,2/11/2014,1.544,2.193,4.127,32,1.441,55.957,1.626,yes
MAC003358,6/6/2013,0.113,0.142,0.388,48,0.085,6.817,0.063,no
MAC003441,2/21/2013,0.481,0.563,1.786,48,0.426,27.019,0.125,no
MAC003358,2/9/2013,0.123,0.169,0.823,48,0.135,8.125,0.069,no
MAC004417,8/29/2012,0.082,0.107,0.435,48,0.093,5.127,0.028,no
MAC001410,6/24/2012,2.926,0.916,1.769,34,0.49,113.921,1.572,yes
MAC003445,2/10/2014,0.332,0.431,1.365,48,0.353,20.685,0.133,no
MAC002474,9/19/2013,1.72,1.445,4.439,23,0.562,40.79,2.149,yes
MAC002582,6/24/2013,0.127,0.209,0.961,48,0.223,10.021,0.038,no
MAC002327,8/13/2013,0.94,1.214,0.662,25,1.314,92.535,0.008,yes
MAC002859,9/10/2012,2.686,0.562,4.68,41,0.17,104.308,1.849,yes
MAC005159,2/16/2013,0.302,0.39,1.106,48,0.207,18.707,0.241,no
MAC002599,4/21/2013,1.417,2.427,1.701,32,0.257,39.994,0.331,yes
MAC003211,10/10/2013,0.182,0.206,0.569,48,0.106,9.886,0.066,no
MAC003387,11/7/2013,0.048,0.062,0.299,48,0.047,2.975,0.02,no
MAC003365,7/2/2013,0.064,0.102,0.535,48,0.124,4.916,0.009,no
MAC002582,8/12/2013,0.851,0.275,4.056,3,0.094,98.464,0.492,yes
MAC001448,1/3/2013,2.825,0.031,4.344,16,0.36,81.523,1.66,yes
MAC002327,9/13/2013,0.168,0.306,1.961,48,0.342,14.688,0.099,no
MAC002474,10/18/2013,0.042,0.047,0.215,48,0.037,2.254,0.013,no
MAC002481,9/3/2013,0.04,0.46,0.036,23,1.18,84.348,1.946,yes
MAC002599,11/13/2012,0.795,2.283,3.062,10,0.657,103.599,0.136,yes
MAC003903,5/2/2013,0.494,0.592,1.61,48,0.341,28.434,0.179,no
MAC002859,7/12/2013,0.908,1.433,1.666,28,0.253,12.488,1.842,yes
MAC002859,6/20/2012,1.687,1.606,2.301,15,0.186,16.907,1.519,yes
MAC003900,5/17/2013,0.159,0.237,1.406,48,0.23,11.355,0.06,no
MAC002595,7/30/2013,2.569,1.686,2.283,27,1.092,49.321,1.396,yes
MAC005172,11/9/2012,0.055,0.076,0.179,48,0.054,3.634,0.028,no
MAC003403,12/13/2013,0.141,0.181,0.776,48,0.113,8.672,0.105,no
MAC004832,5/23/2013,0.144,0.219,1.003,48,0.219,10.522,0.024,no
MAC004543,3/7/2012,0.487,0.502,1.31,48,0.313,24.093,0.122,no
MAC003221,3/25/2013,0.104,0.114,0.2,48,0.033,5.492,0.066,no
MAC002599,11/20/2012,0.242,0.288,0.795,48,0.168,13.817,0.106,no
MAC002474,10/13/2013,0.055,0.149,1.25,48,0.266,7.128,0.013,no
MAC002582,12/3/2013,0.135,1.728,0.156,35,1.046,116.222,0.007,yes
MAC000606,2/9/2013,1.921,2.327,3.747,16,1.04,43.374,2.186,yes
MAC000606,1/12/2013,1.511,1.259,4.727,37,0.967,48.091,1.154,yes
MAC002327,1/5/2013,0.013,0.489,4.335,32,0.625,89.725,2.202,yes
MAC002474,6/12/2013,0.116,1.957,4.862,26,0.469,1.94,0.357,yes
MAC004957,4/6/2013,0.058,0.054,0.152,48,0.038,2.613,0,no
MAC002474,5/2/2013,0.192,1.61,1.693,17,0.999,26.147,1.263,yes
MAC003441,3/10/2013,0.191,0.487,1.91,48,0.516,23.369,0.118,no
MAC002606,9/8/2012,2.795,2.197,2.035,45,1.055,109.794,0.613,yes
MAC003876,11/3/2012,0.315,0.412,1.431,48,0.36,19.752,0.062,no
MAC004287,10/7/2013,0.178,0.229,0.827,48,0.17,10.978,0.081,no
MAC004287,7/12/2013,0.15,0.209,1.012,48,0.174,10.046,0.07,no
MAC002528,1/31/2013,0.037,0.071,0.807,48,0.115,3.418,0.021,no
MAC002327,8/15/2013,2.596,0.401,4.48,24,0.556,59.34,1.888,yes
MAC004287,8/8/2012,0.286,0.303,0.713,48,0.181,14.539,0.089,no
MAC003173,5/19/2013,0.148,0.156,0.464,48,0.07,7.489,0.044,no
MAC002859,12/14/2012,0.137,0.195,0.763,48,0.18,9.381,0.052,no
MAC004567,8/28/2012,0.078,0.1,0.207,48,0.055,4.8,0.039,no
MAC002575,8/18/2012,1.006,0.914,2.575,41,1.287,49.856,2.012,yes
MAC002528,11/30/2013,1.673,1.742,0.287,17,1.298,110.212,2.075,yes
MAC002606,3/9/2013,0.22,0.224,0.568,48,0.128,10.742,0.042,no
MAC003387,10/14/2013,0.05,0.069,0.358,48,0.068,3.306,0.009,no
MAC000606,1/6/2013,0.885,2.139,1.407,3,0.434,85.707,1.157,yes
MAC000897,8/26/2013,0.062,0.072,0.237,48,0.04,3.467,0.03,no
MAC002481,5/20/2013,0.164,0.259,0.795,48,0.201,12.413,0.088,no
MAC002327,4/12/2013,1.762,1.462,1.737,45,1.201,34.071,0.763,yes
MAC001835,9/27/2013,0.24,0.272,0.719,48,0.176,13.052,0.061,no
MAC000897,9/13/2013,0.077,0.102,0.364,48,0.071,4.894,0.034,no
MAC005172,11/2/2013,0.054,0.064,0.14,48,0.037,3.051,0.027,no
MAC002606,8/3/2013,1.945,0.284,2.631,34,0.636,58.375,1.8,yes
MAC002595,10/31/2013,2.077,1.603,4.571,29,0.405,65.079,1.989,yes
MAC003225,5/17/2013,0.189,0.204,0.398,48,0.065,9.78,0.114,no
MAC001835,7/17/2013,0.257,0.284,0.982,48,0.209,13.655,0.066,no
MAC002862,8/24/2012,0.157,0.221,1.19,48,0.23,10.6,0.042,no
MAC002327,5/7/2012,0.164,0.262,0.737,48,0.185,12.584,0.121,no
MAC001966,7/8/2012,0.309,2.356,3.311,33,1.129,13.258,0.363,yes
MAC002606,2/7/2014,2.567,0.594,0.523,13,0.25,39.918,0.943,yes
MAC002606,5/27/2013,0.017,0.643,4.191,16,0.514,20.627,1.792,yes
MAC003173,3/30/2013,0.197,0.403,1.858,48,0.452,19.331,0.091,no
MAC002595,10/19/2013,2.599,1.408,0.723,29,0.072,86.175,0.279,yes
MAC002595,10/5/2012,2.415,0.283,1.712,18,1.075,35.362,1.306,yes
MAC002474,6/4/2012,1.916,0.988,1.026,5,0.724,111.045,2.194,yes
MAC002599,9/19/2012,1.377,1.756,2.594,9,0.797,47.773,1.595,yes
MAC002474,6/28/2012,0.055,0.068,0.892,48,0.124,3.254,0.012,no
MAC001966,6/7/2013,2.385,0.083,2.224,23,0.262,84.328,1.631,yes
MAC000897,6/10/2012,1.765,1.177,0.992,31,0.703,85.126,2.022,yes
MAC002474,4/8/2013,0.104,1.784,3.732,47,0.234,104.466,1.443,yes
MAC003580,8/26/2013,0.103,0.125,0.357,48,0.069,5.995,0.041,no
MAC003607,1/31/2013,0.678,0.766,1.833,48,0.333,36.787,0.327,no
MAC004955,8/15/2013,0.159,0.201,0.689,48,0.135,9.631,0.09,no
MAC002327,7/4/2012,1.099,2.426,4.851,20,1.093,35.849,0.776,yes
MAC002528,9/25/2013,0.747,1.585,4.803,10,1.402,84.064,0.526,yes
MAC002582,5/19/2013,1.597,0.665,3.106,37,0.61,54.012,1.334,yes
MAC002474,5/3/2013,1.167,1.317,2.584,1,0.723,47.156,0.356,yes
MAC003876,11/28/2012,0.351,0.406,0.854,48,0.15,19.485,0.265,no
MAC002582,8/26/2012,1.638,0.813,2.649,43,0.359,94.067,0.127,yes
MAC004287,6/20/2012,0.231,0.298,0.97,48,0.226,14.297,0.097,no
MAC002595,7/26/2013,0.149,0.152,0.439,48,0.089,7.277,0.031,no
MAC001410,12/19/2013,0.146,0.27,1.163,48,0.232,12.955,0.065,no
MAC004955,10/13/2012,0.095,0.105,0.167,48,0.021,5.035,0.084,no
MAC002214,9/6/2012,0.262,1.742,3.543,6,0.396,85.992,1.347,yes
MAC002327,6/6/2013,0.148,0.505,1.999,29,1.055,62.484,0.357,yes
MAC002481,6/6/2012,0.439,0.413,1.74,10,1.103,88.183,2.078,yes
MAC004832,6/6/2013,0.054,0.09,0.418,48,0.09,4.301,0.022,no
MAC003211,9/21/2013,0.211,0.303,1.381,48,0.269,14.558,0.08,no
MAC003441,4/26/2013,0.197,0.212,0.365,48,0.092,10.153,0.081,no
MAC002859,12/22/2012,2.458,1.5,1.192,46,1.404,98.048,2.285,yes
MAC003225,12/29/2012,0.193,0.317,1.136,48,0.263,15.204,0.107,no
MAC003903,3/27/2013,0.634,0.779,2.325,48,0.37,37.375,0.435,no
MAC002606,9/27/2013,2.222,1.141,4.031,28,1.154,47.486,0.768,yes
MAC002481,5/2/2012,0.174,0.211,0.917,48,0.147,10.137,0.046,no
MAC002481,7/20/2012,0.12,2.192,3.742,22,1.216,55.972,1.275,yes
MAC002595,11/11/2012,1.336,1.848,0.481,6,1.234,43.606,0.063,yes
MAC002859,9/5/2013,0.109,0.205,0.859,48,0.218,9.826,0.058,no
MAC004417,4/5/2013,0.111,0.132,0.457,48,0.119,6.358,0.015,no
MAC000897,6/8/2013,2.828,1.859,2.587,14,0.315,66.143,1.032,yes
MAC002327,3/7/2013,0.198,0.308,1.417,48,0.276,14.8,0.105,no
MAC003876,2/26/2013,0.139,0.245,1.364,48,0.227,11.778,0.104,no
MAC002582,11/29/2012,2.522,1.838,0.468,14,0.163,38.04,1.816,yes
MAC002214,12/17/2012,0.238,2.026,2.139,33,1.422,100.433,0.572,yes
MAC002474,6/19/2013,0.055,0.114,1.061,48,0.219,5.469,0.012,no
MAC003900,1/14/2014,0.131,0.225,1.097,48,0.213,10.787,0.061,no
MAC004593,1/5/2013,1.683,1.532,3.399,48,0.64,73.52,0.741,no
MAC001410,11/25/2012,0.322,0.347,3.528,18,0.555,82.148,1.098,yes
MAC003365,2/25/2013,0.063,0.087,0.774,48,0.12,4.188,0.009,no
MAC001966,1/26/2014,2.939,2.426,2.091,40,0.651,66.217,1.081,yes
MAC002481,7/12/2013,0.201,0.265,0.781,48,0.179,12.74,0.075,no
MAC002528,2/21/2014,0.481,2.092,2.529,6,1.118,76.227,0.856,yes
MAC003173,5/4/2013,0.159,0.163,0.348,48,0.052,7.809,0.054,no
MAC002595,10/2/2013,0.136,0.181,1.363,48,0.22,8.695,0.031,no
MAC002327,7/2/2013,2.198,1.066,3.035,3,0.761,70.428,1.76,yes
MAC000897,7/6/2013,0.09,0.089,0.251,48,0.048,4.248,0.046,no
MAC001835,11/24/2012,1.338,2.029,0.889,22,0.921,68.493,1.557,yes
MAC001448,11/13/2013,1.545,1.488,3.063,7,0.016,14.655,0.838,yes
MAC000606,8/7/2012,0.153,0.158,0.31,48,0.061,7.579,0.06,no
MAC002859,10/1/2012,0.115,0.229,1.053,48,0.251,10.984,0.052,no
MAC002214,8/15/2012,1.746,2.414,0.722,2,1.368,94.985,1.322,yes
MAC000897,11/2/2012,0.933,2.139,0.311,32,0.414,74.71,1.236,yes
MAC002528,7/16/2012,0.042,0.068,0.525,48,0.087,3.275,0.026,no
MAC001448,9/25/2012,0.101,0.115,0.298,48,0.049,5.534,0.04,no
MAC003559,11/2/2013,0.194,0.295,2.685,48,0.391,14.164,0.079,no
MAC003607,12/3/2013,0.154,0.263,2.014,48,0.33,12.63,0.106,no
MAC003445,11/28/2013,0.333,0.453,1.998,48,0.418,21.739,0.151,no
MAC004287,6/20/2013,0.175,0.211,1.516,48,0.216,10.146,0.072,no
MAC001448,8/24/2012,1.284,2.359,2.816,16,0.145,108.692,2.012,yes
MAC004543,7/22/2013,0.387,0.461,1.239,48,0.242,22.151,0.206,no
MAC002595,1/27/2013,0.166,0.221,1.057,48,0.219,10.605,0.033,no
MAC004955,1/9/2013,0.162,0.249,1.131,48,0.204,11.937,0.1,no
MAC002575,11/12/2012,1.482,1.898,3.398,11,0.755,10.425,1.091,yes
MAC005172,4/13/2013,0.105,0.13,0.295,48,0.077,6.257,0.04,no
MAC003427,1/31/2014,0.235,0.32,1.65,48,0.328,15.383,0.076,no
MAC003173,2/18/2013,0.15,0.175,0.464,48,0.095,8.423,0.044,no
MAC003173,1/8/2014,0.152,0.186,0.463,48,0.096,8.916,0.038,no
MAC003903,2/27/2013,0.519,0.668,1.877,48,0.351,32.053,0.345,no
MAC001448,1/27/2013,2.989,0.668,2.131,23,1.142,87.481,1.377,yes
MAC005172,1/8/2014,0.101,0.227,1.183,48,0.271,10.886,0.034,no
MAC000606,5/25/2012,2.74,2.123,1.02,34,0.839,8.719,1.547,yes
MAC002859,2/23/2014,0.106,0.262,1.178,48,0.287,12.564,0.059,no
MAC004567,10/27/2012,0.21,0.248,1.164,48,0.211,11.901,0.043,no
MAC002528,4/17/2013,0.055,0.076,0.38,48,0.07,3.67,0.021,no
MAC002582,1/6/2014,0.149,1.141,4.045,24,1.319,101.43,1.424,yes
MAC003173,12/26/2013,0.201,0.228,0.584,48,0.123,10.961,0.088,no
MAC001966,10/2/2012,1.261,0.609,4.839,11,0.686,93.305,1.459,yes
MAC002595,8/1/2012,2.527,1.672,2.823,43,0.428,49.947,1.891,yes
MAC003607,12/2/2013,0.154,0.167,0.556,48,0.089,7.999,0.055,no
MAC000897,2/6/2013,0.579,0.064,1.011,17,0.945,33.173,0.671,yes
MAC003173,11/9/2013,0.166,0.199,0.592,48,0.108,9.543,0.089,no
MAC004957,2/1/2012,0.034,0.05,0.217,48,0.053,2.38,0.006,no
MAC001410,8/20/2013,0.534,2.144,0.397,26,1.015,7.795,0.3,yes
MAC004543,4/4/2013,0.453,0.537,1.812,48,0.378,25.765,0.128,no
MAC000897,12/31/2013,0.81,1.66,2.385,6,0.631,17.361,0.532,yes
MAC000606,4/25/2012,0.64,2.022,4.785,3,0.243,104.117,1.627,yes
MAC003173,10/11/2012,0.13,0.153,0.559,48,0.096,7.32,0.044,no
MAC003445,11/10/2013,0.309,0.414,1.073,48,0.268,19.848,0.149,no
MAC000897,5/19/2012,0.123,1.901,1.461,28,0.726,107.964,1.905,yes
MAC002327,6/20/2012,1.64,1.874,0.703,2,1.324,48.753,1.475,yes
MAC003607,11/26/2012,0.341,0.516,2.554,48,0.546,24.788,0.059,no
MAC000606,12/23/2012,1.678,1.724,0.512,45,1.429,15.835,0.783,yes
MAC002582,1/19/2014,2.572,1.621,1.175,33,0.394,8.229,0.156,yes
MAC004633,11/24/2012,0.106,0.2,0.99,48,0.198,9.584,0.052,no
MAC002214,11/23/2012,0.706,0.603,3.476,12,0.641,32.649,1.761,yes
MAC002599,8/14/2013,1.784,0.771,0.288,28,1.059,21.475,2.25,yes
MAC000606,7/31/2012,0.158,0.16,0.301,48,0.059,7.66,0.044,no
MAC002595,7/17/2013,2.366,1.965,0.688,5,0.682,68.241,1.425,yes
MAC002474,9/12/2012,0.651,0.187,4.399,9,1.345,100.008,1.341,yes
MAC001410,3/5/2013,2.973,0.092,3.32,29,1.346,83.988,1.42,yes
MAC001410,1/22/2014,0.578,0.224,2.726,47,1.062,20.853,0.831,yes
MAC003908,11/25/2013,0.051,0.057,0.265,48,0.04,2.746,0.023,no
MAC002474,3/20/2013,2.038,0.961,1.931,33,0.063,58.63,2.195,yes
MAC002599,12/18/2013,1.47,0.806,1.822,28,0.875,51.732,0.842,yes
MAC002214,1/5/2014,0.156,0.21,0.918,48,0.191,10.09,0.064,no
MAC002859,12/31/2012,1.198,1.357,2.073,19,1.069,101.726,1.481,yes
MAC002582,8/23/2012,0.136,0.217,0.899,48,0.202,10.404,0.041,no
MAC002582,1/26/2014,0.142,0.203,1.152,48,0.204,9.754,0.028,no
MAC004408,2/23/2014,0.155,0.144,0.398,48,0.087,6.917,0.038,no
MAC002599,7/11/2012,2.712,1.921,1.539,32,0.039,117.02,1.225,yes
MAC002606,7/9/2013,0.089,0.095,0.127,48,0.021,4.573,0.04,no
MAC003908,4/12/2013,0.074,0.113,0.91,48,0.143,5.43,0.027,no
MAC002481,1/4/2014,1.642,1.933,2.811,2,0.171,16.347,1.989,yes
MAC001966,8/6/2012,1.158,1.232,2.503,21,0.686,30.652,0.279,yes
MAC002582,10/28/2012,2.626,2.09,1.155,25,0.756,25.649,2.251,yes
MAC002481,1/30/2013,0.26,0.371,1.478,48,0.309,17.787,0.083,no
MAC002327,3/16/2013,1.422,0.003,3.313,16,0.222,58.458,2.105,yes
MAC002481,4/5/2013,0.223,0.228,0.651,48,0.136,10.955,0.048,no
MAC003355,2/18/2013,0.245,0.43,1.859,48,0.413,20.644,0.137,no
MAC003211,9/20/2013,0.106,0.231,1.096,48,0.245,11.073,0.043,no
MAC003903,1/10/2014,0.47,0.555,1.407,48,0.25,26.654,0.277,no
MAC001448,7/4/2012,1.932,2.105,4.483,8,1.305,87.003,1.986,yes
MAC004957,5/27/2013,0.021,0.031,0.133,48,0.031,1.473,0,no
MAC002481,6/23/2012,1.839,1.448,4.746,23,0.238,1.138,1.411,yes
MAC001448,5/19/2013,0.744,0.797,0.756,24,0.727,26.512,0.047,yes
MAC003365,10/25/2012,0.058,0.075,0.205,48,0.055,3.597,0.014,no
MAC002481,5/23/2012,1.948,1.448,3.657,34,1.068,3.866,0.166,yes
MAC001410,6/10/2012,1.475,2.124,1.446,3,1.354,26.433,1.905,yes
MAC002474,7/30/2012,2.224,2.05,2.966,40,1.169,50.116,0.953,yes
MAC001410,6/14/2012,0.119,1.472,1.845,40,0.842,68.9,0.66,yes
MAC002582,3/19/2013,0.118,0.202,1.092,48,0.209,9.694,0.034,no
MAC001410,3/22/2013,2.413,0.787,3.128,14,0.895,1.581,1.102,yes
MAC003822,11/15/2013,0.145,0.177,0.608,48,0.145,8.502,0.033,no
MAC002606,7/30/2013,0.349,0.382,3.51,8,0.764,82.7,1.648,yes
MAC002606,2/17/2014,0.126,0.117,0.173,48,0.036,5.612,0.046,no
MAC002575,9/24/2012,0.583,0.524,4.646,37,0.269,34.523,0.695,yes
MAC002606,9/14/2012,0.369,2.408,0.881,20,0.877,4.07,2.066,yes
MAC002528,1/2/2014,0.699,0.225,4.25,4,0.959,67.222,0.421,yes
MAC004832,8/8/2012,0.164,0.214,0.924,48,0.217,10.278,0.023,no
MAC004567,6/7/2013,0.128,0.234,2.204,48,0.346,11.214,0.043,no
MAC002327,9/5/2012,0.165,0.256,1.32,48,0.24,12.279,0.118,no
MAC003607,1/12/2014,0.855,0.913,2.562,48,0.727,43.808,0.13,no
MAC002606,1/17/2014,1.393,1.412,3.235,18,0.441,84.738,0.432,yes
MAC002474,2/16/2014,1.996,1.381,1.417,32,0.528,82.451,2.199,yes
